投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2026-01-08 00:00:00,成分オタクちゃん,通常,TikTok,Riho,ババアに激推しの下地❗️ちふれのやつ❗️絶妙なラベンダーピンクがええ❗️❗️ #ちふれ #化粧下地 #ベースメイク #下地,https://www.tiktok.com/@seibun_otakuchan/video/7592943045163748629?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026/1/19 10:51:33,13,530000,6289,116,199,4390,0.011899999999999999,0.0002,0.0004,0.0083,9,0.67,78,43,35,27,583,,97
2026-01-09 00:00:00,Maya grant,通常,TikTok,Riho,Which &honey should you use?🐝🧴I asked my Japanese friend🇯🇵 #jbeauty #japanesehaircare #andhoney #jbeautyhaircare,https://www.tiktok.com/@mayas_beautytalk/video/7593300481510804766?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026/1/19 10:52:14,24,351000,32100,107,1904,11180,0.0915,0.0003,0.0054,0.0319,10,0.42,83,56,45,29,187,,93
2026-01-09 00:00:00,モテコスメちゃん,通常,YT,Maya,【保存必須】予算別で失敗しない！お年玉でコスメ買うならこれ！ #shorts #コスメ #美容 #メイク #モテる,https://youtube.com/shorts/N9kQ6KRDj4k?si=k9csFYF5Mwp8fk3B,単品,2026/1/19 10:55:35,42,249197,3300,11,,,0.0132,0.0,0.0,0.0,,,,,,,,,
2026-01-09 00:00:00,成分オタクちゃん,通常,IG,Riho,ババアに激推しの下地❗️ちふれのやつ❗️絶妙なラベンダーピンクがええ❗️❗️#ちふれ #化粧下地 #ベースメイク #下地,https://www.instagram.com/reel/DTSLw1bgftP/?igsh=bmk2cGl2cjl6MWUx,単品,2026/01/26 12:45:27,14,460000,2833,30,,,0.0062,0.0001,0.0,0.0,,,,,,,,,
2026-01-06 00:00:00,コスメ俱楽部,通常,TikTok,Moeka,みんなのリピなしファンデも教えて〜！！共有しよ📝💗 #リピなし #ファンデ #コスメ #おすすめ #ベースメイク,https://www.tiktok.com/@cosme_katari.club/video/7592165697858456853?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/1/26 5:24:55,44,219500,3549,33,20,494,0.016200000000000003,0.0002,0.0001,0.0023,,,,,,,,,
2026-01-09 00:00:00,成分オタクちゃん,通常,YT,Riho,リピ確定！ちふれで感動級の激安トーンアップUVに出会ってしまった #コスメ #美容 #メイク #プチプラ #購入品紹介,https://youtube.com/shorts/6rLI5v_J-qQ?si=by-wQx4prS0G5Aib,単品,2026/1/26 12:31:23,15,177453,1092,38,,,0.0062,0.0002,0.0,0.0,,,,,,,,,
2026-01-13 00:00:00,モテコスメちゃん,通常,IG,Maya,普通だったら捨てられちゃう化粧品（使用期限が近いもの・外箱に傷がある未使用品・過剰在庫など）を、お得な価格で販売しているんだって！🎀しかも、お買い物すると一部が社会貢献にもなるの！🌍✨可愛くてお得で、地球にも優しいって最高....！#コスメ購入品 #プチプラコスメ #コスメ紹介 #安い #コスメ,https://www.instagram.com/reel/DTmyIDcCRBp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,単品,2026/1/26 12:43:03,20,82168,3085,8,,,,,,,,,,,,,,,
2026-01-09 00:00:00,怪獣ちゃん,通常,YT,Hina,セザンヌの新作ティントがヤバい！700円以下のクオリティじゃなさすぎる #コスメ #美容 #メイク #プチプラ #購入品紹介,https://youtube.com/shorts/dufQHBAehUE?si=oJzhlAS9V2l_e9P3,単品,2026/1/26 12:31:19,19,132784,678,4,,,0.0051,0.0,0.0,0.0,,,,,,,,,
2026-01-04 00:00:00,突撃ちゃん,通常,IG,Riho,美容のウワサを突撃検証👀店頭コスメを徹底調査する突撃ちゃんです📢🥰今回はバズりスキンケアを正直レビュー！【アレンシア🫧🩶たまご肌セラム】を紹介します🎤💄参考になったら嬉しいです🥰🥰🥰突撃ちゃんでは『コメント欄』と『DM』を解放しています!!紹介した商品で気になった事や、紹介してほしい商品がある方はぜひ『コメント欄』や『DMに』✍🏻この投稿が参考になったらあとで見返せるように『保存』お願いします💓『いいね』を押していただけるととても励みになります！#コスメ #スキンケア #美容 #美容液 #アレンシア,https://www.instagram.com/reel/DTFTzFSEa5t/?igsh=bzdocWhjaXNvOTlt,単品,2026/01/26 12:46:24,26,,1039,2,,,,,,,,0.0,,,,,,,
2026-01-09 00:00:00,成分オタクちゃん,通常,TikTok,Riho,コスパ最強のマツキヨ化粧水❗️❗️これはまじ隠れ名品❗️ #スキンケア #化粧水 #マツキヨ #セラミド,https://www.tiktok.com/@seibun_otakuchan/video/7593297261132582165?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026/1/26 5:24:30,23,130000,1697,38,60,854,0.0131,0.0003,0.0005,0.0066,8,0.36,83,54,33,12,86,,92
2026-01-07 00:00:00,Maya grant,通常,TikTok,Riho,I asked my Japanese friend what CANMAKE products she uses! #jbeauty #canmake #jbeautymakeup #japanesemakeup #canmaketokyo,https://www.tiktok.com/@mayas_beautytalk/video/7592554328938859789?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026/1/26 5:24:58,52,146300,13400,32,465,4328,0.0916,0.0002,0.0032,0.0296,13,0.25,79,51,41,16,61,,93
2026-01-07 00:00:00,Maya grant,通常,TikTok,Riho,I asked my Japanese friend what CANMAKE products she uses! #jbeauty #canmake #jbeautymakeup #japanesemakeup #canmaketokyo,https://www.tiktok.com/@mayas_beautytalk/video/7592554328938859789?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026/01/26 5:24:49,52,146300,13400,32,465,4328,0.0916,0.0002,0.0032,0.0296,13,0.25,80,50,40,15,5,,96
2026-01-09 00:00:00,モテコスメちゃん,通常,IG,Maya,だんだん安くなるよ！全部ほんとにおすすめだからお年玉でぜひ買ってほしい🥹💖プレゼントの参考にも！♡#お年玉 #コスメ #ベストバイ #おすすめコスメ #プレゼントにおすすめ,,単品,2026/1/22 10:30:58,42,252000,5227,3,,,0.0207,0.0,0.0,0.0,,,,,,,,,
2026-01-07 00:00:00,ももそら,通常,IG,Hina,2025年結局市販で1番良かったまつげ美容液はこれー！！！みんなの推しまつげ美容液も教えて？👀✨️#まつげ #美容液 #おすすめ #スカルプd #ももそら,https://www.instagram.com/reel/DTNCM7FE6Y7/?igsh,単品,2026/01/26 12:45:17,55,,1282,5,,,,,,,,0.0,,,,,,,
2026-01-30 00:00:00,kana,通常,YT,Ryusei,pov : my Japanese sister wants to teach Japanese culture but she can’t speak English #japan,https://youtube.com/shorts/RWT0Qp8Bbfs?si=XL4nVW9gvKnMEOqV,単品,2026/1/26 12:31:47,45,80680,4612,56,,,0.0572,0.0007000000000000001,0.0,0.0,,0.0,,,,,,,
2026-01-01 00:00:00,美容探偵,PR,TikTok,Moeka,ついにシカ成分まで飲む時代に！？毎日続けやすいから敏感肌さんのインナーケアにぜひ取り入れてみて！Qoo10で買えるからチェックしてみてね✨ #PR #飲むシカ #スーパーシカB5 #VAITALBEAUTIE #インナーケア,https://www.tiktok.com/@tantei_cosme/video/7590315782911905045?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/01/26 12:33:58,29,62800,94,1,3,9,0.0015,0.0,0.0,0.0001,,,,,,,,,
2026-01-01 00:00:00,成分オタクちゃん,通常,YT,Riho,ドンキ行くならこれ買って！週8ドンキ通いしてる私が選んだTOP3  #コスメ #美容 #スキンケア #メイク #ドンキホーテ,https://youtube.com/shorts/ckYSE0aipaE?si=wHETV94JYNWO0kC4,単品,2026/01/26 12:32:11,28,62301,262,0,,,0.0042,0.0,0.0,0.0,,0.0,,,,,,0.0,
2026-01-30 00:00:00,kana,通常,IG,Ryusei,Thanks to everyone that shes really enjoying taking video recently#jbeauty #japan #sister #japanese #fyp,https://www.instagram.com/reel/DTP9Odpjgsr/?igsh=MWpmNDVtNDhhaHQ2aw==,単品,2026/01/26 12:45:44,36,,4745,26,,,,,,,,0.0,,,,,,,
2026-01-09 00:00:00,ももそら,通常,YT,Hina,【福袋2026】ドンキ限定のコスメ福袋開封したらお得すぎて大当たり⁉︎ #コスメ #美容 #メイク #ドンキホーテ  #福袋,https://youtube.com/shorts/oY2Cm8r3Om8?si=jRliEg_z1EUH5ahf,単品,2026/01/26 12:31:24,58,52461,348,0,,,0.0066,0.0,0.0,0.0,,,,,,,,,
2026-01-12 00:00:00,デパコス,通常,TikTok,Moeka,結局下地の正解ってなにー？🥹 #下地 #ベースメイク #デパコス #fwee #新作コスメ,https://www.tiktok.com/@buzzcosme_review/video/7594404182753348884?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/1/26 5:24:09,34,189800,3452,19,25,1313,0.0182,0.0001,0.0001,0.0069,,0.0,,,,,,,
2026-01-30 00:00:00,kana,通常,IG,Ryusei,part 1 | pov : my japanese sister wants to introduce her hair arrange but she cant speak english#jbeauty #japan #sister #japanese #fyp,https://www.instagram.com/reel/DTO3oC8iVte/?igsh=emZ2ZXFiMXZlbm84,単品,2026/1/26 12:45:43,43,,5151,23,,,,,,,,0.0,,,,,,,
2026-01-06 00:00:00,突撃ちゃん,通常,YT,Riho,ドンキでまだ買える！ロムアンドの福袋が今年も完璧すぎた #コスメ #美容 #メイク #福袋 #ドンキホーテ,https://youtube.com/shorts/6NliIifheqI?si=oDHcSUUEqoYCyyYV,単品,2026/01/26 12:31:59,30,49608,666,3,,,0.0134,0.0001,0.0,0.0,,0.0,,,,,,0.0,
2026-01-07 00:00:00,突撃ちゃん,通常,IG,Riho,大バズりしてたスリコの福袋みんな買った？？私の中身はめっちゃ衝撃だった…🫢買った人は何が入ってたかコメントで教えてーー！#福袋 #開封動画 #スリコ #おすすめ #アクセサリー,https://www.instagram.com/reel/DTNCNldETN-/?igsh=MWdja3d6dWNqaWZrcQ==,単品,2026/01/26 12:45:14,20,,271,1,,,,,,,,0.0,,,,,,,
2026-01-07 00:00:00,kana,通常,TikTok,Ryusei,pov : my sister wants to teach japaneae phrase but she cant speak english #japanese #japan #kana #sister #fyp,https://www.tiktok.com/@princess.kana73/video/7587389622699740447,単品,2026/01/21 13:42:01,34,47500,10200,93,119,1169,,,,,,0.0,,,,,,,
2026-01-06 00:00:00,デパコス,通常,TikTok,Moeka,ブルベ夏さん集合ー！！！#ysl #プランパー #グロス #リップ,https://www.tiktok.com/@buzzcosme_review/video/7592157351017270549?is_from_webapp=1&sender_device=pc&web_id=7539816830442046984,単品,2026/01/26 12:34:11,19,75500,1102,9,37,376,0.0146,0.0001,0.0005,0.005,,0.0,,,,,,0.0,
