,目標,"¥25,281,250",,51.26%,,,,,,,,,,,,,,
,売上,,粗利,,,,,,,,,,,,,,,
,"¥13,950,000",,"¥12,960,000",,,,,,,,,,,,,"¥120,427",,
,,,粗利率,92.90%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,HS URL,CAM ID,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,
,Song Rie,AnyMind,VITALBEAUTIE,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/53974113959,CAM0079718,"¥300,000",¥0,¥0,¥0,TRUE,"¥300,000",投稿完了,,
,Song Rie,AnyMind,VITALBEAUTIE,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/53974113959,CAM0079718,"¥320,000",¥0,¥0,¥0,FALSE,"¥320,000",投稿完了,再生保証あり,
,Song Rie,AnyMind,パーフェクトダイアリー,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0079673,"¥500,000","¥500,000","¥300,000",¥0,FALSE,"¥200,000",投稿完了,"再生保証(150,000再生)＋IG＋YTs",パウダー
,Song Rie,AnyMind,パーフェクトダイアリー,モテコスメちゃん,AJP,非課税,IGリール,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0079673,"¥200,000",¥0,¥0,¥0,FALSE,"¥200,000",投稿完了,YTs転載,パウダー
,Song Rie,AROMATICA,AROMATICA,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/53936100721,CAM0079668 ,"¥500,000",¥0,¥0,¥0,FALSE,"¥500,000",投稿完了,再生保証＋ももそらORG,
,Song Rie,AROMATICA,AROMATICA,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/53936100721,CAM0079668 ,"¥500,000",¥0,¥0,¥0,FALSE,"¥500,000",投稿完了,再生保証,
