,目標,"¥29,831,250",,33.76%,,,,,,,,,,,
,売上,,粗利,,,,,,,,,,,,
,"¥12,080,000",,"¥10,070,000",,,,,,,,,,,,
,,,粗利率,83.36%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考
,Banao,AnyMind,ポリデント,肌コミちゃん,RCP,課税,TT投稿費用,"¥1,050,000","¥1,050,000","¥630,000",¥0,TRUE,"¥420,000",進行中,動画買取（投稿あり、動画納品、動画利用期限無期限）
,Haruka Matsumoto,AnyMind,COSRX,成分オタクちゃん,AJP,非課税,TT投稿費用,"¥1,140,000",¥0,¥0,¥0,FALSE,"¥1,140,000",進行中,再生保証
,Haruka Matsumoto,AnyMind,COSRX,韓国オンニ,AJP,非課税,TT投稿費用,"¥380,000",¥0,¥0,¥0,FALSE,"¥380,000",進行中,再生保証
,NADESHIKO,トレンダーズ,ナチュリエ,モテコスメちゃん,AJP,課税,TT投稿費用,"¥350,000",¥0,¥0,¥0,TRUE,"¥350,000",進行中,
,NADESHIKO,LC,マジョリカマジョルカ,コスメ怪獣ちゃん,RCP,課税,TT投稿費用,"¥500,000","¥500,000","¥300,000",¥0,TRUE,"¥200,000",進行中,"TikTok 1投稿&Instagram転載：35万円（税抜）
TikTok二次利用(sparkads)：10万円（税抜）
Instagram二次利用(ブランドコンテンツ配信)：5万円（税抜）"
,NADESHIKO,and tokyo,＋tmr,ビビちゃん,AJP,課税,TT投稿費用,"¥350,000",¥0,¥0,¥0,TRUE,"¥350,000",進行中,
,NADESHIKO,and tokyo,＋tmr,突撃ちゃん,AJP,課税,TT投稿費用,"¥250,000",¥0,¥0,¥0,TRUE,"¥250,000",進行中,
,NADESHIKO,and tokyo,＋tmr,ももそら,AJP,課税,TT投稿費用,"¥450,000",¥0,¥0,¥0,TRUE,"¥450,000",進行中,
,NADESHIKO,and tokyo,＋tmr,語りたい倶楽部,RCP,課税,TT投稿費用,"¥350,000","¥350,000","¥210,000",¥0,TRUE,"¥140,000",進行中,
,NADESHIKO,ミツバチ,アニュミー,モテコスメちゃん,AJP,課税,IGリール,"¥200,000",¥0,¥0,¥0,TRUE,"¥200,000",進行中,
,NADESHIKO,ミツバチ,アノブ,モテコスメちゃん,AJP,課税,TT投稿費用,"¥400,000",¥0,¥0,¥0,TRUE,"¥400,000",進行中,二次利用あり
,NADESHIKO,ミツバチ,アノブ,韓国オンニ,AJP,課税,TT投稿費用,"¥400,000",¥0,¥0,¥0,TRUE,"¥400,000",進行中,二次利用あり
,NADESHIKO,Castee,ファンデーション,肌コミちゃん,RCP,課税,TT投稿費用,"¥550,000","¥550,000","¥330,000",¥0,TRUE,"¥220,000",進行中,・TikTok1投稿＋Spark Ads2週間：45万円（税別）・Instagram配信2週間：10万円（税別）
,NADESHIKO,Greed,manyo,ももそら,AJP,課税,TT投稿費用,"¥500,000",¥0,¥0,¥0,TRUE,"¥500,000",進行中,SparkAds配信2週間：5万円
,NADESHIKO,スターミュージックエンタテイメント,ファシオ,肌コミちゃん,RCP,課税,TT投稿費用,"¥300,000","¥300,000","¥180,000",¥0,FALSE,"¥120,000",進行中,
,NADESHIKO,BUZZLE,beplain,成分オタクちゃん,AJP,課税,TT投稿費用,"¥350,000",¥0,¥0,¥0,FALSE,"¥350,000",進行中,二次利用検討中
,Nana Yoshida,パーフェクトワンフォーカス,AnyMind,韓国オンニ,AJP,課税,TT投稿費用,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",進行中,再生保証
,Nana Yoshida,パーフェクトワンフォーカス,AnyMind,語りたい倶楽部,RCP,課税,TT投稿費用,"¥200,000","¥200,000","¥120,000",¥0,FALSE,"¥80,000",進行中,再生保証
,Nana Yoshida,パーフェクトワンフォーカス,AnyMind,モテコスメちゃん,AJP,課税,TT投稿費用,"¥500,000",¥0,¥0,¥0,FALSE,"¥500,000",進行中,再生保証
,Song Rie,AnyMind,Amore Pacific (IOPE),,AJP,非課税,TT投稿費用,"¥1,520,000",¥0,¥0,¥0,FALSE,"¥1,520,000",進行中,再生保証あり
,Song Rie,AnyMind,Amore Pacific (VITAL BEAUTIE),,AJP,非課税,TT投稿費用,"¥1,540,000",¥0,¥0,¥0,FALSE,"¥1,540,000",進行中,再生保証あり
,NADESHIKO,YOAKASHI,センテリアン24,肌コミちゃん,RCP,課税,TT投稿費用,"¥400,000","¥400,000","¥240,000",¥0,FALSE,"¥160,000",進行中,二次利用あり
,,,,,,,,,,¥0,,,¥0,,
,,,,,,,,,"¥3,350,000",,,,,,
