author_name,total_engagement,total_impressions,followers,country,post_count,tribe
Shaniqua Posting Delusions,51997,1566054,157680,,1,Unclassified
James Lucas,5563,5975548,738050,,1,Unclassified
Ash,2230,193501,66948,United Kingdom,2,Unclassified
Hans Niemann,1647,215653,84552,,1,Unclassified
Unlimited L's,1619,102041,129106,Lesotho,1,Unclassified
Henker-Satire - Das Original,1042,28883,10839,,10,Unclassified
Fatine ✨️,1039,58783,2391,,1,Unclassified
Archaeo - Histories,678,112990,589999,,2,Unclassified
InternistWey👨‍⚕️,676,15267,9190,,1,Unclassified
Tim Burchett,656,45943,328394,United States,1,Unclassified
Liberalism Appreciator,107061,2164715,1920,United States,1,Creative
Ryan Gerritsen🇨🇦🇳🇱,18675,409550,113796,,1,Creative
ian bremmer,3637,169901,768296,,1,Creative
Dexerto,1980,188342,861268,,1,Creative
nolan,1942,39988,22928,United States,1,Creative
Oli London,1859,156886,526810,,1,Creative
Nassira El Moaddem,1047,56023,106324,,1,Creative
✖️e k i,890,41071,70873,,1,Creative
Jake Landau (He/Him) 🇨🇦🇵🇸🇺🇦,816,63330,3621,Canada,2,Creative
SHABOOTY 🎥: #90DayFiance 🪬,221,8631,62145,United States,1,Creative
Rain Drops Media,71095,5692148,89123,,1,Business Traveler
Mike Sington,7331,2014292,141423,United States,1,Business Traveler
Jennifer Grady,3604,157208,2508,United States,1,Business Traveler
hunter tobin,2890,476214,18457,,1,Business Traveler
Cata Paul 🃏‍‍‍,1786,82222,21154,,2,Business Traveler
Mario Nawfal,1005,340635,1581549,,4,Business Traveler
Reno Omokri,782,90394,2686084,,1,Business Traveler
Lady Barbara Nichols |Founder & Data Scientist,334,26352,7471,United Kingdom,1,Business Traveler
Aimen Dean,264,9478,32677,,1,Business Traveler
Jon Fraser,137,3946,18072,Canada,2,Business Traveler
Mike Netter,10114,345801,51315,United States,1,Tech/Digital
pulpo404,1128,88998,10760,,2,Tech/Digital
Imtiaz Mahmood,966,84985,431999,United Kingdom,1,Tech/Digital
Don McGowan,616,62105,15566,United Kingdom,1,Tech/Digital
Arrow,605,21790,40534,,1,Tech/Digital
Ben Schlappig,497,204813,82663,,68,Tech/Digital
Do Baniye,455,90350,2398,,6,Tech/Digital
colourful love🎗,296,4861,160,Germany,1,Tech/Digital
Laci Knight,290,5191,16293,Canada,1,Tech/Digital
Rupa Subramanya,162,3468,216691,,1,Tech/Digital
Virginie Sigonney,4918,399478,54574,France,1,Travel Enthusiast
Sheel Mohnot,3058,317719,177835,United States,2,Travel Enthusiast
non aesthetic things,2950,232972,4381255,,1,Travel Enthusiast
Earth_Wanderer,923,58705,187061,,3,Travel Enthusiast
Andreas Spaeth,824,57878,15096,Germany,3,Travel Enthusiast
Phantom Stays,378,21542,14854,,5,Travel Enthusiast
totocrypto.btc,328,1299,279,,1,Travel Enthusiast
Chun,234,32215,88320,,2,Travel Enthusiast
Sam North,229,76556,30551,United Kingdom,1,Travel Enthusiast
Simon Calder,210,48290,204565,,3,Travel Enthusiast
"C. Dionysus - FL, NY, DMV, CA, GA & NJ",56,1153,1626,United States,1,Luxury Lifestyle
The Dutch Doge Guy 🐕,40,25692,42842,,1,Luxury Lifestyle
𝙎𝐜𝙝𝙚𝙢𝒃𝙧𝞸𝐱,8,515,570,,1,Luxury Lifestyle
Dan Cataneo 🌐,7,53,16446,United States,1,Luxury Lifestyle
Ajao Emmanuel || 💚❣️ (ajao25.base.eth),5,988,2065,,1,Luxury Lifestyle
Abhinovv,4,207,1277,,1,Luxury Lifestyle
Filippo Marchetti 🎼,4,5,198,Germany,1,Luxury Lifestyle
John Cafazza,4,209,578,United States,1,Luxury Lifestyle
Tommy Walton Must Be Stopped!,4,23,4,,1,Luxury Lifestyle
alyssa in the city,4,173,2043,United States,4,Luxury Lifestyle
Random_Thoughts,14,2744,2,,1,Japan Interest
Blasée,6,320,327,France,1,Japan Interest
Jessa G.,4,6,5344,United States,1,Japan Interest
Nikola Tchouparov 🇸🇻,1,5,798,,1,Japan Interest
Broken Nimp,0,0,6,,1,Japan Interest
Chef Josh,0,0,1387,United States,1,Japan Interest
Daddy Indica aka Dirty Dan 🇯🇲🇺🇸🥊,0,0,1339,,1,Japan Interest
David Charles,0,0,808,United Kingdom,1,Japan Interest
Henry Tudor,0,0,47,,1,Japan Interest
KizariGames,0,0,9674,United States,1,Japan Interest
