date,post_count,total_impressions,total_engagement,avg_sentiment
2024-01-22,2,11,1,-2.5
2024-01-23,8,61,0,0.625
2024-01-24,7,1515,15,1.4285714285714286
2024-01-25,3,0,0,-3.3333333333333335
2024-01-26,16,5331,10,0.625
2024-01-27,3,8385,45,0.0
2024-01-28,7,7849,1,2.142857142857143
2024-01-29,5,19944,115,-1.0
2024-01-30,3,149,1,1.6666666666666667
2024-01-31,6,1800,8,1.6666666666666667
2024-02-01,6,153,7,0.8333333333333334
2024-02-02,11,1837,10,2.727272727272727
2024-02-03,5,22,0,0.0
2024-02-04,4,188,9,2.5
2024-02-05,5,60,2,4.0
2024-02-06,3,43,3,-1.6666666666666667
2024-02-07,5,34,2,2.0
2024-02-08,8,19,2,1.25
2024-02-09,7,41,0,-2.142857142857143
2024-02-10,3,31,0,0.0
2024-02-11,6,473,0,1.6666666666666667
2024-02-12,2,15,3,-2.5
2024-02-13,6,44222,155,2.5
2024-02-14,1,0,0,5.0
2024-02-15,4,73,2,1.25
2024-02-16,2,0,0,0.0
2024-02-17,1,40,2,5.0
2024-02-18,3,6,0,1.6666666666666667
2024-02-19,2,0,1,0.0
2024-02-20,4,1931,72,-1.25
2024-02-21,2,0,0,-2.5
2024-02-22,3,78,0,3.3333333333333335
2024-02-23,6,82,2,-2.5
2024-02-24,1,0,0,0.0
2024-02-25,2,116,11,-5.0
2024-02-26,1,15,0,-5.0
2024-02-27,5,4561,0,2.0
2024-02-28,1,0,0,0.0
2024-02-29,5,200,21,0.0
2024-03-01,9,1564,9,0.0
2024-03-02,9,11814,58,2.2222222222222223
2024-03-03,5,1672,5,0.0
2024-03-04,2,0,0,-2.5
2024-03-05,12,29233,65,0.4166666666666667
2024-03-06,3,1883,0,0.0
2024-03-07,8,203,11,0.0
2024-03-08,2,223,6,-2.5
2024-03-09,7,186,6,0.0
2024-03-10,12,1537,23,0.8333333333333334
2024-03-11,4,391,0,2.5
2024-03-12,4,233,13,-1.25
2024-03-13,6,2,0,-2.5
2024-03-14,5,365,1,1.0
2024-03-15,4,63,0,0.0
2024-03-16,2,0,0,-2.5
2024-03-17,4,4746,9,1.25
2024-03-18,11,320,5,2.727272727272727
2024-03-19,3,99,0,0.0
2024-03-20,1,0,0,5.0
2024-03-21,3,2868,81,1.6666666666666667
2024-03-22,5,117,2,-2.0
2024-03-23,5,102,0,1.0
2024-03-24,5,582,0,1.0
2024-03-25,4,62,0,0.0
2024-03-26,5,11427,58,1.0
2024-03-27,4,61,0,0.0
2024-03-28,3,0,0,0.0
2024-03-29,5,56180,1056,-1.0
2024-03-30,14,9188,39,0.0
2024-03-31,2,41,4,2.5
2024-04-01,2,0,0,-2.5
2024-04-02,7,1271,4,0.7142857142857143
2024-04-03,2,84,18,0.0
2024-04-04,7,1436,1,-2.142857142857143
2024-04-05,1,0,1,5.0
2024-04-06,4,5,0,0.0
2024-04-07,4,542,0,-2.5
2024-04-08,4,62,0,-1.25
2024-04-09,2,46,0,-5.0
2024-04-10,4,2274,58,-1.25
2024-04-11,8,439,12,-1.25
2024-04-12,3,737,26,1.6666666666666667
2024-04-13,8,312,28,0.625
2024-04-14,7,3952,21,4.285714285714286
2024-04-15,6,885,8,-4.166666666666667
2024-04-16,8,27179,4,3.125
2024-04-17,11,11570,84,1.8181818181818181
