author_name,author_description,followers,author_url,country,target_country,region,post_count,avg_sentiment,total_engagement,total_impressions,tribe,top_post
Grok,https://t.co/fqNKQSiLQB @grok it,7546028,http://twitter.com/grok/,United States,US,TC1_NA,65,0.3076923076923077,110,14830,Unclassified,http://twitter.com/grok/status/2011113620885680171
Barstool Sports,Viva La Stool,5923352,http://twitter.com/barstoolsports/,,Other,Unknown,1,-5.0,35,14944,Unclassified,http://twitter.com/barstoolsports/status/1826714720474112363
non aesthetic things,viral media from around the world,4381255,http://twitter.com/PicturesFoIder/,,Other,Unknown,1,0.0,2950,232972,Travel Enthusiast,http://twitter.com/PicturesFoIder/status/1864268294313668817
Reno Omokri,Mountaineer. Avid traveler and adventurer. #TableShaker. #1 Bestselling Author. @BusinessInsider Influencer of 2022. Hollywood Festival Awardee. Globetrotter.,2686084,http://twitter.com/renoomokri/,,Other,Unknown,1,0.0,782,90394,Business Traveler,http://twitter.com/renoomokri/status/1938661673847636206
Mario Nawfal,"Unfiltered Unbiased Verified 24x7 Breaking News | NO BIAS, NO ECHO CHAMBERS: Host of the Largest Show on 𝕏 | Founder & Investor",1581549,http://twitter.com/MarioNawfal/,,Other,Unknown,4,-3.75,1005,340635,Business Traveler,http://twitter.com/MarioNawfal/status/1898204525250363474
Dexerto,"The leading source for influencer, streamer, and viral content",861268,http://twitter.com/Dexerto/,,Other,Unknown,1,0.0,1980,188342,Creative,http://twitter.com/Dexerto/status/1790075476771295255
ian bremmer,"@eurasiagroup & @gzeromedia. political scientist, author. if you lived here, you'd be home now.",768296,http://twitter.com/ianbremmer/,,Other,Unknown,1,0.0,3637,169901,Creative,http://twitter.com/ianbremmer/status/1885005380624793692
James Lucas,"Beauty is truth, truth beauty; that is all ye know on earth, and all ye need to know.",738050,http://twitter.com/JamesLucasIT/,,Other,Unknown,1,0.0,5563,5975548,Unclassified,http://twitter.com/JamesLucasIT/status/1975714152267313537
Redi Tlhabi,"Award winning TV & radio broadcaster, author, moderator. Presenter: @AJUpfront  Aljazeera.  Ex BBC.  MA: International Relations @reditlhabi.bsky.social",693488,http://twitter.com/RediTlhabi/,United States,US,TC1_NA,1,0.0,4,7434,Creative,http://twitter.com/RediTlhabi/status/1998807891638423781
Time Capsule Tales,🇺🇸  internet history & curiosity museum 🧠,684141,http://twitter.com/timecaptales/,United States,US,TC1_NA,1,0.0,319,32904,Unclassified,http://twitter.com/timecaptales/status/1864141834785525821
That Martini Guy ₿,"Follow for #Crypto. I stream myself trading Bitcoin & Crypto. #Bitcoin #BTC (MY TWEETS ARE NOT FINANCIAL ADVICE, THEY ARE MY OPINION)",665729,http://twitter.com/MartiniGuyYT/,,Other,Unknown,1,5.0,143,12215,Tech/Digital,http://twitter.com/MartiniGuyYT/status/1892201241863716988
Archaeo - Histories,"History is an unending dialogue between present and the past, that's why few pages of history give more insight than all the metaphysical volumes. (9)",589999,http://twitter.com/archeohistories/,,Other,Unknown,2,-2.5,678,112990,Unclassified,http://twitter.com/archeohistories/status/2006314939724824877
Oli London,📖Author | 📺 News Contributor  |📚Get Gender Madness⬇️,526810,http://twitter.com/OliLondonTV/,,Other,Unknown,1,-5.0,1859,156886,Creative,http://twitter.com/OliLondonTV/status/1826963819404689683
H. Pearl Davis,1.9 million on YouTube / Cultural commentary  To have me read your comments on my show and first access to my documentary go to https://t.co/bYynyf5XKp,464491,http://twitter.com/pearlythingz/,,Other,Unknown,1,-5.0,218,39668,Unclassified,http://twitter.com/pearlythingz/status/1906017812100837421
Farokh (Perma/Bull),President of DASTAN: @MyriadMarkets + @RugRadio+ @DecryptMedia + @LuckyTraderHQ + @DegenzNFT | host @FOMOHOUR | press@rug.fm | opinions are my own,441124,http://twitter.com/farokh/,,Other,Unknown,1,0.0,3,64,Creative,http://twitter.com/farokh/status/1906811273464955303
