id,published_at,content,lang,sentiment,author_name,author_gender,author_followers,author_description,author_url,country,country_code,city,impressions,likes,retweets,replies,engagement,reach,region,target_country,tribes,tribe_primary,topics,airline
http://twitter.com/Dootfish_inc/status/1878576088693002748,2025-01-13 07:53:36,"@hkm279 Maybe, he flew business class on Lufthansa to Manchester last night wearing a disguise.",en,0,Dootfish,FEMALE,207,Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,http://twitter.com/Dootfish_inc/,United Kingdom,uk,Manchester,10,0,0,0,0,207,TC2_EU,UK,[],Unclassified,[],Lufthansa
http://twitter.com/JimmyMoore12/status/1953493259205923099,2025-08-08 01:27:41,"First-class passengers on British Airways' Boeing 747 have raised concerns about a redesign featuring windows in select lavatories. A female traveler heading to New York voiced unease over the absence of blinds. A flight attendant reportedly quipped, ""Madam, if someone’s peering in at 35,000 feet, they’ve earned the sight.""",en,-5,Jimmy Moore,MALE,6954,"Award winning photojournalist in a car accident that left me paralyzed in 2011. Still Smiling! Husband, Girl Dad, NUFC, New England Patriots, Red Sox and UNC.♿️",http://twitter.com/JimmyMoore12/,United States,us,Atlanta,975,20,3,0,23,6954,TC1_NA,US,"[""Creative""]",Creative,"[""Service""]",British Airways
http://twitter.com/ElaineWombatPa/status/1879519613261869056,2025-01-15 22:22:50,"@FredFellaIMO No one took me up on my offer to go to Washington DC and testify if they would pay for first class on Amtrak. I'll volunteer for the Afd hearings. I'll need round trip first class on Lufthansa, good hotel, and a translator https://t.co/bEPFLFNQw7",en,-5,Elaine is a Joyful Bastard,FEMALE,4300,,http://twitter.com/ElaineWombatPa/,Canada,ca,"Langley, British Columbia (city)",91,9,0,1,10,4300,TC1_NA,CA,[],Unclassified,[],Lufthansa
http://twitter.com/piphy__/status/2009653206096527561,2026-01-10 00:47:16,"I actually like the windows. The bathroom already small and cramped and let a lil sun in there to make it feel less like you're in a prison https://t.co/UWOLWCGsBx QT @Turbinetraveler: Passengers flying British Airways’ Boeing 747 in First Class raised eyebrows over lavatories redesigned with windows — and no blinds. One passenger heading to New York reportedly complained about the lack of privacy. A stewardess reportedly responded, “Madam, if someone is clinging to the side of this aircraft at 35,000 feet, they’ve earned the view.”",en,0,piph pop,MALE,387,it all started #onhere,http://twitter.com/piphy__/,United States,us,Houston,0,0,0,0,0,387,TC1_NA,US,"[""Tech/Digital""]",Tech/Digital,"[""Seat & Comfort""]",British Airways
http://twitter.com/ForeverSeabass/status/1870169908585148589,2024-12-21 03:10:26,"@NorthrnPrspectv 'Nuff said: https://t.co/mjZ7DmJuIP QT @Trudeaus_Ego: This morning, Minister of Pensions @theJagmeetSingh was caught living like the average Joe. While sitting in a $5,000 First Class pod on Air Canada. I wonder if anyone out there still believes us, when we say we are fighting for ordinary every day Canadians. https://t.co/EX9ScVuFt9",en,-5,Son of Seabass,MALE,1771,You are the media now (Until You Aren't)™  |  Censorship = Desperate Need to Control.  NO Politician Will Save You | Personal Sovereignty | Build Your Own World,http://twitter.com/ForeverSeabass/,Canada,ca,Ottawa,32,2,0,0,2,1771,TC1_NA,CA,"[""Travel Enthusiast"", ""Creative""]",Travel Enthusiast,"[""Seat & Comfort"", ""Service"", ""Entertainment""]",Air Canada
http://twitter.com/j_bambrick/status/1939778348160303404,2025-07-01 05:09:32,Biden is reading one of my favourite books of all time. Let’s hope it speaks to him. https://t.co/QfU2JmeSn4 QT @libsoftiktok: NEW: First class passenger alleges that American Airlines bumped him to make room for Joe Biden https://t.co/Gh47CxqxYi,en,0,Jamie Bambrick,MALE,15016,"Associate Pastor of Hope Church Craigavon | Father, husband, follower of Christ | https://t.co/0mYY5crd0T",http://twitter.com/j_bambrick/,United Kingdom,uk,London,1725,15,0,2,17,15016,TC2_EU,UK,"[""Tech/Digital""]",Tech/Digital,"[""Seat & Comfort""]",American Airlines
http://twitter.com/73Traveller/status/1804166009487790153,2024-06-21 23:54:31,Enjoying a Flight on Air Canada's Signature Business Class Service Vancouver - Ottawa https://t.co/5GkZDU1Rh9,en,5,World Traveller 73,MALE,44,Upgrade Your Travels,http://twitter.com/73Traveller/,Canada,ca,Vancouver,0,0,0,0,0,44,TC1_NA,CA,"[""Travel Enthusiast""]",Travel Enthusiast,"[""Service""]",Air Canada
http://twitter.com/Larsgrisette/status/1846894531133735269,2024-10-17 21:42:24,"RAB d' Airbus , passé sous contrôle allemand ; ils n ' ont même pas participé à l' épopée du Concorde ! https://t.co/3giQ7A92a5 QT @Gate7aviation: Lufthansa vient d’accueillir son tout premier #A350 équipé de la cabine Allegris First Class dans son hub de Munich. L’avion flambant neuf baptisé « Leverkusen » immatriculé D-AIXW est arrivé d' #Airbus à Toulouse.#Lufthansa #FirstClass @MUC_Airport https://t.co/TwzGvBgp1t",fr,5,Laurence Dupuy,FEMALE,1545,"Docteur en droit fistal, Docteur en Psychiatrie,Punk un jour, Punk toujours !",http://twitter.com/Larsgrisette/,United States,us,"Arlington, Texas",0,0,0,0,0,1545,TC1_NA,US,"[""Tech/Digital""]",Tech/Digital,[],Lufthansa
http://twitter.com/me_barksdale/status/2010452187382755567,2026-01-12 05:42:08,Drumul catre MIAMI 🌴| Air France-business class (ne-au pierdut bagajele)... https://t.co/B38H9JLri0 via @YouTube,fr,0,@melania barksdale,FEMALE,8,Youtuber e mi piace truccarmi e recensire prodotti. https://t.co/wh1nWmZtSH https://t.co/QTvZ5lv81x.,http://twitter.com/me_barksdale/,Italy,it,Cagliari,15,1,0,0,1,8,TC2_EU,IT,"[""Creative""]",Creative,[],Air France
http://twitter.com/vrenzolainabar/status/2001996793903825001,2025-12-19 21:43:25,"Lmao is this real? If so, GOAT https://t.co/roVjJ3UNeL QT @woofknight: Passengers flying first class on British Airways’ Boeing 747s have expressed concerns about a redesign that includes windows in some lavatories. One woman traveling to New York voiced her discomfort over the lack of blinds. A stewardess reportedly responded, “Madam, if someone is clinging to the side of this aircraft at 35,000 feet, they’ve earned the view.",en,-5,Sara- Just a vrenzola in a bar,FEMALE,1359,"Questo non è account serio, questa user è qui solo for clowning purposes. BILINGUAL ACCOUNT eng/ita #tvshows https://t.co/Y3x40qnVXT",http://twitter.com/vrenzolainabar/,United Kingdom,uk,London,0,0,0,0,0,1359,TC2_EU,UK,[],Unclassified,"[""Seat & Comfort""]",British Airways
http://twitter.com/imsoMarilyn_/status/1942035966044086439,2025-07-07 10:40:30,This American Airlines first class does not eat down 😒,en,-5,A❤️,FEMALE,962,The girl you dream about & want to wake up with. ❤️202❤️ DSU Alumna. World traveler ✈️. Your favorite Yoga instructor🧘🏽‍♀️. Namaste.,http://twitter.com/imsoMarilyn_/,United States,us,"Washington, D.C.",0,0,0,0,0,962,TC1_NA,US,"[""Business Traveler"", ""Travel Enthusiast""]",Business Traveler,[],American Airlines
http://twitter.com/BarberotTeresa/status/1898626338149237112,2025-03-09 15:46:08,Flying Solo in Air France First Class :) https://t.co/f2FPKOVTFm via @YouTube,en,5,Teresa Barberot,FEMALE,6636,"Always pursue Goodness, Peace & Joy through Love found in the Holy Trinity. ✝️ Compassion & Forgiveness. Help the Earth to have clean air, water & food.🌻",http://twitter.com/BarberotTeresa/,United States,us,"Washington, D.C.",0,0,0,0,0,6636,TC1_NA,US,"[""Tech/Digital""]",Tech/Digital,[],Air France
http://twitter.com/BasilTheFennec/status/1790089833773150647,2024-05-14 03:40:49,"Mmm yummy, can't wait to pay a premium to have my face covered with other people's sweat for hours at a time QT @Dexerto: Lufthansa will include the Meta Quest 3 as part of their in-flight entertainment for business-class passengers https://t.co/e04hD2BGmK",en,5,Basil,FEMALE,267,PFP:@vism0k | BNR:@Fleurfurr | Pan | Engineer & IT | Car Nerd | DMs open | Disc: basilthefennec (always active) @_whitetxt forever💚💛,http://twitter.com/BasilTheFennec/,United Kingdom,uk,Cardiff,10,0,0,0,0,267,TC2_EU,UK,"[""Tech/Digital""]",Tech/Digital,"[""Entertainment""]",Lufthansa
http://twitter.com/JadSMor/status/1992078277838778572,2025-11-22 12:50:47,"@Ryanair As someone who is 6'6"" I would actually enjoy this flight much more than pretty much any non-first class seat in any airline.",en,5,Doc Jad,MALE,766,"US based Physician, hobby artist, Found on DeviantArt under the same username. instagram = jadsanmor",http://twitter.com/JadSMor/,United States,us,Salt Lake City,947,4,0,0,4,766,TC1_NA,US,"[""Creative""]",Creative,"[""Seat & Comfort""]",Other
http://twitter.com/RoiOfRenard/status/1754453353940091135,2024-02-05 19:34:10,@Mediavenir Grand merci à lui. Il aura mérité un billet première classe sur Air France pour son vol de retour vers bamako.,fr,5,KingDuFox,MALE,50,,http://twitter.com/RoiOfRenard/,France,fr,Paris,0,0,0,0,0,50,TC2_EU,FR,[],Unclassified,[],Air France
http://twitter.com/GlennAd73143202/status/1803479649147621746,2024-06-20 02:27:10,No respect these days QT @whatsn2day: Trump loyalist in MAGA hat says she was discriminated against in first class on American Airlines flight: A conservative journalist claimed she was discriminated against on an American Airlines flight because of her “Make America Great… https://t.co/lLpDUpULmG #dailymail #news,en,-5,Glenn Adams,MALE,489,"Transplant to Orlando,Florida from Baytown,Texas in 1986.",http://twitter.com/GlennAd73143202/,United States,us,"Orlando, Florida",0,0,0,0,0,489,TC1_NA,US,[],Unclassified,[],American Airlines
http://twitter.com/sebisity/status/1790812714220081468,2024-05-16 03:33:17,"@DB_Bahn Hallo, ich habe ein Lufthansa Ticket vom Stuttgarter Bahnhof zum Flughafen Frankfurt. ICE. erste Klasse. Kann ich damit auch statt ab Stuttgart erst ab Heidelberg mit der S-Bahn nach Mannheim fahren und dort in den oben genannten lufthansa-zug zu steigen?",de,0,sebastian,MALE,23,,http://twitter.com/sebisity/,Germany,de,Heidelberg,24,0,0,0,0,23,TC2_EU,DE,[],Unclassified,[],Lufthansa
